Artist,Title,DiscID
5утра,Пришлите мне песню [-+],39374
5утра,Ромашки [-],46812
5утра,Синие глаза (& Barabanov)[-+],52110
5утра,Снег [-],48678
5утра,Снежинки (& Barabanov)[-+],53966
5утра,Солнечные зайчики [iv],50627
5утра,Чуйка [iv],50136
5утра,Я люблю другого [-],46813
6ix9ine,"FEFE (& Beatz Murda)[клип,CDG]",34893
6ix9ine,"Tic toc (& Lil Baby)[клип,CDG]",34894
7000$,Пламя свободы (& Тэм)[-],20269
7Hills,"Танцы [remix,бэк,-+,клип]",00045
7Б,13 декабрь [-],25482
7Б,Алло [-],21717
7Б,"Ангел [-+,клип]",00046
7Б,Влюблённые дети [-],25483
7Б,Воин призрак [-],39375
7Б,Всё потом [-],25484
7Б,Город слепых [-+],39376
7Б,Городу на Неве [клип],21982
7Б,Душа бойца [-],39377
7Б,Жди [-],21983
7Б,Зима 1 [-],25061
7Б,Зима 2 [-],21718
7Б,Знаю будет [-],21984
7Б,Инопланетен [-],00047
7Б,Летим с войны [-+],52840
7Б,Мама [-],25485
7Б,Мне ответит небо [-],21719
7Б,"Молодые ветра 1 [v-+,клип]",00048
7Б,"Молодые ветра 2 [-+,клип]",25290
7Б,Не герой [-+],52841
7Б,Неизвестный солдат [-],21985
7Б,Некрещённая луна 1 [-],22622
7Б,Некрещённая луна 2 [-],00049
7Б,Ночное лето [-],39378
7Б,Осень [-],00050
7Б,Песни мои [-],21720
7Б,По дорогам ветра [-+],39379
7Б,Полковник [-],21986
7Б,Помоги мне [бэк],25486
7Б,Портреты [-+],39380
7Б,Последний герой 1 [-],22623
7Б,Последний герой 2 [-],00051
7Б,Появись [-+],00052
7Б,Радость невест [-],21721
7Б,Руки в небо [-],22624
7Б,Слышь США [-],42280
7Б,Убегаем догоняют (Прости мама)[-],21722
7Б,Улицы битых машин [-],00053
7Б,Эта ночь [-],42281
7Б,"Я любовь [-+,клип]",00054
7Б,Я пришёл чтобы петь [-+],39381
8 желаний,"Дым [бэк,-+]",02889
8 желаний,Метелица [бэк],25062
8 желаний,Новогодняя [бэк],30844
8 желаний,Солнечная песня [бэк],30845
8 желаний,Ты ко мне а я к тебе [бэк],30846
8 желаний,Я знаю ты любишь [бэк],30948
8 марта,Без вас бы не было [-],47359
84,"Голая (& Tet Baby)[-+,18+]",45125
883,Bella vera [-],14375
883,Come mai [-],14376
883,Io ci saro [-],14377
883,La regola dellamico [-],14378
883,Nord sud ovest est [-],14379
883,Senza averti qui [-],14380
9 грамм,Ласковый зверь (& Орлова Алина)[клип],36223
9 грамм,Плановая [-],23705
9 грамм,"Рапапам (& MiyaGi, Эндшпиль)[-]",03407
9 грамм,Снег [-],23706
9mice,"Ice и Alabaster (& Kai Angel)[iv,18+]",53441
9mice,Imya [iv],53439
9mice,Lipstick (& Kai Angel)[iv],53442
9mice,"Your love [iv,18+]",53440
9mice,"Ринопластика (Surgery)(& Kai Angel)[iv,18+]",53443
9-й район,8 марта [-],34403
9-й район,Бегом из детства [h-+],00055
9-й район,Бесконечная история [-+],39382
9-й район,Гастрольная [-],42282
9-й район,Девятый стакан текилы [бэк],33474
9-й район,"Жизнь дерьмо [-+,клип]",34404
9-й район,"Киллер [-+,клип]",33473
9-й район,Когда ушёл один к себе [-],25487
9-й район,Не забывай [-],20267
9-й район,Непристойное предложение [-+],00056
9-й район,Непрошенный гость [клип],00057
9-й район,О плохом не думай (Не в коже)[-],25488
9-й район,Основной инстинкт [-+],25489
9-й район,Постельный рок н ролл [-],20270
9-й район,Привет как дела [-],33476
9-й район,Солдат (Снял гитару с плеч)[-],00058
9-й район,Фейерверк [-+],39383
9-й район,Художник и музыкант [-+],34405
9-й район,Я буду рядом [-],00059
A boire,"Ah si mon moine voulait danser [бэк,-+]",14382
A boire,"Chaffreil, la picaya [-+]",14383
A boire,Chevaliers de la table ronde [-+],14384
A chorus line,One [-],33239
A$AP Rocky,"1 Train (& Lamar, Badass, Yelawolf, Brown, Bronson, Big K.R.I.T.)[бэк,клип]",38690
A$AP Rocky,"Fuckin' problems (& Drake, 2 Chainz, Lamar Kendrick)[бэк,клип,18+]",38665
A.S.I.E.,Et puis la terre [-],14407
A.V.G,25 кадр [-+],45126
A.V.G,"5 Am in Rostov (& Macan)[-+,18+]",52793
A.V.G,Буду чаще (& Asatro)[iv],54856
A.V.G,Ножевой (& Tatar)[-+],45130
A.V.G,Она близко (& Goro)[-+],42284
A.V.G,Она кайф [-+],45127
A.V.G,Привыкаю (& Macan)[-+],45129
A.V.G,Сердце магнит (& Согдиана)[-+],52794
A.V.G,Скандалит [-+],45128
A.V.G,Спой (& Macan)[-],42285
A.V.G,Ты мой сон [-+],447164
A.V.G,"Я плачу [-+,клип]",42283
AA.VV,Ciliegi rosa (Perez prado)[-],14393
AA.VV,Come facette mammeta [-],14394
AA.VV,Dance 2005 [бэк],14395
AA.VV,Disco '70 4 megamix [бэк],14396
AA.VV,Disco '80 3 megamix [бэк],14397
AA.VV,Disco '80 4 megamix [бэк],14398
AA.VV,Disco '90 megamix [бэк],14399
AA.VV,Io che non vivo [-],14400
AA.VV,Medley anni '60 [-],14402
AA.VV,Medley anni '60 vol.8 [бэк],14401
AA.VV,Medley cha cha cha [-],14403
AA.VV,Medley rock'n'roll [-],14404
AA.VV,"Mix Brazil, Disco Samba [бэк]",14405
AA.VV,Vitti na crozza [-],14406
Aarne,"Culture (& Markul, Toxi$)[iv,18+]",52842
Aarne,"SOS (& Bushido Zho)[-+,18+]",45423
Aarne,"Больно (& Markul, MAYOT)[-]",46316
Aarne,Вместе (& Bushido Zho)[-+],46315
Aarne,"Мечты (& Feduk, Scally Milano)[-+,18+]",45424
Aarne,"Тесно (& Bushido Zho, Anikv)[18+]",44721
Aarne,Трезво (& Дора)[iv],52508
Aarne,"Фиеста (& Yanix, SEEMEE)[-]",46328
ABBA,Andante andante [-],33240
ABBA,"Dancing Queen 1 [бэк,клип]",34821
ABBA,"Dancing Queen 2 [бэк,клип]",34507
ABBA,"Dancing Queen 3 [бэк,клип]",14408
ABBA,"Dancing Queen 4 [бэк,клип,транск]",19625
ABBA,"Dancing Queen 5 [бэк,клип,CDG]",34508
ABBA,Does your mother know [vid],14409
ABBA,Don't shut me down [-],36651
ABBA,"Fernando 1 [бэк,-+,клип]",14411
ABBA,"Fernando 2 [бэк,-+]",14410
ABBA,Gimme! Gimme! Gimme! 1 (A man after midnight)[-],14413
ABBA,"Gimme! Gimme! Gimme! 2 (A man after midnight)[remix,клип]",14412
ABBA,"Happy new year 1 [-,бэк,клип]",46984
ABBA,"Happy new year 2 [бэк,клип]",14414
ABBA,"Happy new year 3 [бэк,клип]",24894
ABBA,He is your brother [-],14415
ABBA,Head over heels [-],14416
ABBA,"Honey, honey [-]",14417
